addrs,alive_time,ip,port,proof_time,speed,style
铁通,46天,114.115.216.99,80,17-11-26 23:56,0.045秒,HTTP
,22小时,123.207.8.94,8080,17-11-26 23:53,0.178秒,HTTPS
北京,562天,61.135.217.7,80,17-11-26 23:52,0.324秒,HTTP
吉林长春,11小时,58.244.59.208,8080,17-11-26 23:52,0.088秒,HTTPS
辽宁葫芦岛,2天,123.56.86.187,3128,17-11-26 23:51,0.01秒,HTTPS
广西防城港,510天,110.73.13.220,8123,17-11-26 23:46,1.385秒,HTTP
湖北襄阳,1分钟,219.138.58.187,3128,17-11-26 23:46,0.834秒,HTTP
安徽芜湖,8天,223.241.78.159,8010,17-11-26 23:45,7.697秒,HTTP
福建泉州,3小时,117.24.36.67,808,17-11-26 23:40,3.546秒,HTTPS
湖北襄阳,9小时,221.233.85.178,3128,17-11-26 23:34,0.219秒,HTTPS
广西防城港,1分钟,110.73.12.87,8123,17-11-26 23:33,7.033秒,HTTPS
湖北襄阳,2天,219.138.58.245,3128,17-11-26 23:33,2.737秒,HTTP
湖北襄阳,2小时,219.138.58.33,3128,17-11-26 23:33,0.693秒,HTTP
湖北襄阳,5天,219.138.58.59,3128,17-11-26 23:30,1.237秒,HTTPS
江西,7天,171.35.103.37,808,17-11-26 23:30,0.196秒,HTTPS
铁通,13小时,110.216.60.136,80,17-11-26 23:26,0.347秒,HTTP
广西南宁,1分钟,110.73.40.30,8123,17-11-26 23:22,0.574秒,HTTPS
浙江舟山,1分钟,123.96.4.221,49466,17-11-26 23:22,1.158秒,HTTPS
浙江台州,2小时,115.203.221.178,8888,17-11-26 23:22,0.859秒,HTTP
福建龙岩,1分钟,59.58.242.45,38785,17-11-26 23:16,0.335秒,HTTP
吉林长春,4分钟,123.173.81.190,80,17-11-26 23:16,1.406秒,HTTPS
,1天,106.42.97.33,808,17-11-26 23:16,3.181秒,HTTPS
江苏淮安,1分钟,49.87.176.128,42125,17-11-26 23:16,0.72秒,HTTP
江苏徐州,1分钟,49.81.35.215,38349,17-11-26 23:16,2.751秒,HTTP
北京,97天,118.187.58.34,53281,17-11-26 23:15,1.137秒,HTTP
北京,432天,202.108.2.42,80,17-11-26 23:12,5.855秒,HTTP
四川泸州,13天,218.88.215.109,8118,17-11-26 23:11,0.263秒,HTTPS
北京,30天,120.25.164.134,8118,17-11-26 23:06,0.239秒,HTTP
广东东莞,1分钟,113.77.100.84,3128,17-11-26 23:00,0.471秒,HTTP
云南临沧,108天,112.114.98.197,8118,17-11-26 22:56,1.831秒,HTTP
江苏无锡,1分钟,222.191.169.153,49616,17-11-26 22:55,1.47秒,HTTPS
安徽,1分钟,60.169.217.210,42112,17-11-26 22:55,0.692秒,HTTPS
安徽宿州,1分钟,60.175.197.108,49585,17-11-26 22:55,0.153秒,HTTPS
山东枣庄,774天,60.214.118.170,63000,17-11-26 22:32,0.218秒,HTTP
浙江杭州,102天,101.68.73.54,53281,17-11-26 22:30,0.218秒,HTTP
北京,28分钟,120.24.217.220,8080,17-11-26 22:24,0.149秒,HTTPS
广西南宁,715天,110.73.52.184,8123,17-11-26 22:16,6.448秒,HTTP
广西南宁,1分钟,115.46.110.75,8123,17-11-26 22:16,7.749秒,HTTP
广西防城港,25天,121.31.100.168,8123,17-11-26 22:16,6.172秒,HTTPS
安徽芜湖,28天,223.241.78.85,8010,17-11-26 22:15,1.931秒,HTTPS
广西防城港,729天,110.73.7.113,8123,17-11-26 22:11,3.722秒,HTTP
上海,14天,116.231.35.5,8118,17-11-26 21:57,0.269秒,HTTPS
广西防城港,40分钟,110.73.31.159,8123,17-11-26 21:55,3.117秒,HTTP
广西,1分钟,171.37.192.121,8123,17-11-26 21:55,4.771秒,HTTPS
广西南宁,41分钟,115.46.97.171,8123,17-11-26 21:52,2.297秒,HTTPS
河南,185天,171.13.37.14,808,17-11-26 21:46,1.817秒,HTTPS
广西南宁,1分钟,110.73.53.95,8123,17-11-26 21:44,4.227秒,HTTPS
,12天,106.14.241.155,80,17-11-26 21:33,0.117秒,HTTPS
广西贵港,751天,110.72.45.82,8123,17-11-26 21:30,4.145秒,HTTP
